Model,Layer,Optimal Clusters,F1 Score,Precision,Recall,Accuracy,Silhouette,Orthogonality,Assignment Rate
deepseek-r1-distill-llama-8b,6,19,0.757,0.910,0.672,0.796,0.043,0.887,0.980
deepseek-r1-distill-llama-8b,10,15,0.728,0.905,0.637,0.723,0.036,0.881,0.860
deepseek-r1-distill-llama-8b,14,18,0.757,0.897,0.686,0.706,0.035,0.873,0.960
deepseek-r1-distill-llama-8b,18,17,0.715,0.871,0.619,0.758,0.039,0.889,0.960
deepseek-r1-distill-llama-8b,22,14,0.674,0.879,0.561,0.735,0.037,0.899,0.920
deepseek-r1-distill-qwen-1.5b,4,19,0.783,0.884,0.719,0.762,0.058,0.820,0.960
deepseek-r1-distill-qwen-1.5b,8,18,0.756,0.867,0.682,0.787,0.055,0.801,1.000
deepseek-r1-distill-qwen-1.5b,12,20,0.746,0.906,0.652,0.789,0.055,0.828,0.980
deepseek-r1-distill-qwen-1.5b,16,12,0.693,0.877,0.591,0.751,0.055,0.771,0.900
deepseek-r1-distill-qwen-1.5b,20,19,0.745,0.905,0.657,0.789,0.056,0.838,0.980
deepseek-r1-distill-qwen-14b,8,17,0.731,0.866,0.678,0.774,0.054,0.827,0.980
deepseek-r1-distill-qwen-14b,14,19,0.747,0.891,0.672,0.789,0.047,0.838,1.000
deepseek-r1-distill-qwen-14b,20,20,0.768,0.903,0.694,0.768,0.041,0.813,0.980
deepseek-r1-distill-qwen-14b,26,15,0.732,0.867,0.655,0.773,0.043,0.857,0.960
deepseek-r1-distill-qwen-14b,32,19,0.734,0.908,0.636,0.779,0.045,0.854,0.960
